2026-04-04 11:30:11 | INFO    | ============================================================
2026-04-04 11:30:11 | INFO    | BACKTEST  BTC  30d  started 2026-04-04T04:30:11.860241+00:00
2026-04-04 11:30:11 | INFO    | ============================================================
2026-04-04 11:30:11 | INFO    | Fetching BTC data for 30 days...
2026-04-04 11:30:46 | INFO    |   OPEN BUY BTC | setup=bullish_pinbar entry=73890.1 SL=73607.0747 TP=74314.6379 R:R=1.5 | mode=VOLATILE_RANGE score=3
2026-04-04 11:30:46 | INFO    |   CLOSE SL | BUY BTC | entry=73890.1 exit=73607.0747 pnl=-1.92% (-1.92 USDT) | bal=10009
2026-04-04 11:30:46 | INFO    |   OPEN BUY BTC | setup=bullish_pinbar entry=73721.7 SL=73382.7958 TP=74230.0564 R:R=1.5 | mode=UPTREND score=3
2026-04-04 11:30:46 | INFO    |   CLOSE TP | BUY BTC | entry=73721.7 exit=74230.0564 pnl=+3.45% (+3.45 USDT) | bal=10012
2026-04-04 11:30:47 | INFO    |   OPEN BUY BTC | setup=bullish_engulfing entry=74720.5 SL=74394.4987 TP=75209.5019 R:R=1.5 | mode=UPTREND score=3
2026-04-04 11:30:47 | INFO    |   CLOSE SL | BUY BTC | entry=74720.5 exit=74394.4987 pnl=-2.18% (-2.18 USDT) | bal=10010
2026-04-04 11:30:49 | INFO    |   OPEN BUY BTC | setup=bullish_pinbar entry=74103.9 SL=73866.6402 TP=74459.7896 R:R=1.5 | mode=UPTREND score=4
2026-04-04 11:30:49 | INFO    |   CLOSE SL | BUY BTC | entry=74103.9 exit=73866.6402 pnl=-1.60% (-1.60 USDT) | bal=10008
2026-04-04 11:30:49 | INFO    |   OPEN BUY BTC | setup=bullish_pinbar entry=72893.8 SL=72606.5655 TP=73324.6518 R:R=1.5 | mode=UPTREND score=4
2026-04-04 11:30:49 | INFO    |   CLOSE SL | BUY BTC | entry=72893.8 exit=72606.5655 pnl=-1.97% (-1.97 USDT) | bal=10006
2026-04-04 11:30:50 | INFO    |   OPEN BUY BTC | setup=bullish_pinbar entry=71320.0 SL=70995.5 TP=71806.75 R:R=1.5 | mode=VOLATILE_RANGE score=3
2026-04-04 11:30:50 | INFO    |   Progress 3888/8640 (45%) | balance=10006 trades=52
