signal,entry,sl,tp,rr,setup,open_ts,mode,score,h1_trend,outcome,exit_price,exit_ts,pnl_pct,pnl_usdt,balance,held_min
BUY,66705.8,66546.6884,67407.21,4.41,setup_E_bb_mean_reversion,2026-02-23T00:55:00+00:00,SIDEWAY,4,SIDEWAY,SL,66546.6884,2026-02-23T01:00:00+00:00,-1.193,-1.19,9973.43,5.0
SELL,64903.7,65146.8593,64538.9611,1.5,bearish_engulfing,2026-02-23T04:15:00+00:00,VOLATILE_RANGE,3,VOLATILE_RANGE,SL,65146.8593,2026-02-23T05:10:00+00:00,-1.873,-1.87,9971.56,55.0
BUY,65006.3,64725.7843,65427.0736,1.5,bullish_pinbar,2026-02-23T05:25:00+00:00,VOLATILE_RANGE,3,VOLATILE_RANGE,TP,65427.0736,2026-02-23T06:20:00+00:00,3.236,3.23,9974.79,55.0
SELL,65707.9,65983.1698,65294.9954,1.5,bearish_engulfing,2026-02-23T09:15:00+00:00,VOLATILE_RANGE,4,VOLATILE_RANGE,SL,65983.1698,2026-02-23T09:30:00+00:00,-2.095,-2.09,9972.7,15.0
SELL,66297.8,66627.8445,65802.7332,1.5,bearish_engulfing,2026-02-23T11:20:00+00:00,DOWNTREND,3,DOWNTREND,TP,65802.7332,2026-02-23T14:35:00+00:00,3.734,3.72,9976.42,195.0
SELL,65399.0,65829.4975,64753.2538,1.5,bearish_engulfing,2026-02-23T16:00:00+00:00,DOWNTREND,6,DOWNTREND,TP,64753.2538,2026-02-23T17:15:00+00:00,4.937,4.93,9981.35,75.0
SELL,64336.9,64751.1423,63715.5366,1.5,bearish_engulfing,2026-02-23T17:35:00+00:00,DOWNTREND,6,DOWNTREND,SL,64751.1423,2026-02-23T17:55:00+00:00,-3.219,-3.21,9978.13,20.0
SELL,64165.3,64510.8132,63647.0301,1.5,bearish_engulfing,2026-02-23T20:05:00+00:00,DOWNTREND,3,DOWNTREND,SL,64510.8132,2026-02-23T21:00:00+00:00,-2.692,-2.69,9975.45,55.0
SELL,65921.0,66374.1025,65241.3462,1.5,bearish_pinbar,2026-02-25T01:25:00+00:00,VOLATILE_RANGE,6,DOWNTREND,TP,65241.3462,2026-02-25T04:00:00+00:00,5.155,5.14,9980.59,155.0
SELL,66081.7,66418.1042,65577.0936,1.5,bearish_pinbar,2026-02-25T13:00:00+00:00,VOLATILE_RANGE,6,VOLATILE_RANGE,SL,66418.1042,2026-02-25T13:45:00+00:00,-2.545,-2.54,9978.05,45.0
SELL,68843.9,69140.7098,68398.6854,1.5,bearish_pinbar,2026-02-25T19:15:00+00:00,VOLATILE_RANGE,3,VOLATILE_RANGE,SL,69140.7098,2026-02-25T20:30:00+00:00,-2.156,-2.15,9975.9,75.0
BUY,68996.8,68734.208,69390.688,1.5,bullish_engulfing,2026-02-25T21:20:00+00:00,VOLATILE_RANGE,3,VOLATILE_RANGE,SL,68734.208,2026-02-25T21:30:00+00:00,-1.903,-1.9,9974.0,10.0
BUY,68993.8,68727.5155,69393.2268,1.5,bullish_pinbar,2026-02-25T22:05:00+00:00,VOLATILE_RANGE,3,VOLATILE_RANGE,SL,68727.5155,2026-02-25T22:30:00+00:00,-1.93,-1.92,9972.07,25.0
BUY,68625.5,68404.5363,68956.9456,1.5,bullish_pinbar,2026-02-26T04:50:00+00:00,UPTREND,4,UPTREND,SL,68404.5363,2026-02-26T05:00:00+00:00,-1.61,-1.61,9970.47,10.0
BUY,68412.6,68176.0685,68767.3973,1.5,bullish_pinbar,2026-02-26T10:40:00+00:00,UPTREND,4,UPTREND,SL,68176.0685,2026-02-26T11:20:00+00:00,-1.729,-1.72,9968.75,40.0
BUY,67010.5,66498.4738,67778.5394,1.5,bullish_pinbar,2026-02-26T16:45:00+00:00,VOLATILE_RANGE,6,UPTREND,SL,66498.4738,2026-02-26T16:55:00+00:00,-3.82,-3.81,9964.94,10.0
BUY,67041.1,66761.3972,67460.6541,1.5,bullish_pinbar,2026-02-27T01:20:00+00:00,VOLATILE_RANGE,4,UPTREND,TP,67460.6541,2026-02-27T02:15:00+00:00,3.129,3.12,9968.05,55.0
BUY,67723.7,67485.7908,68080.5639,1.5,bullish_pinbar,2026-02-27T04:40:00+00:00,UPTREND,3,UPTREND,SL,67485.7908,2026-02-27T06:25:00+00:00,-1.756,-1.75,9966.3,105.0
BUY,67277.0,67110.446,67830.385,3.32,setup_E_bb_mean_reversion,2026-02-27T09:50:00+00:00,SIDEWAY,4,SIDEWAY,SL,67110.446,2026-02-27T10:10:00+00:00,-1.238,-1.23,9965.07,20.0
BUY,66772.9,66494.3678,67190.6984,1.5,bullish_pinbar,2026-02-27T10:45:00+00:00,VOLATILE_RANGE,6,VOLATILE_RANGE,SL,66494.3678,2026-02-27T11:15:00+00:00,-2.086,-2.08,9962.99,30.0
BUY,66211.5,65834.3712,66777.1931,1.5,bullish_pinbar,2026-02-27T14:35:00+00:00,VOLATILE_RANGE,5,VOLATILE_RANGE,SL,65834.3712,2026-02-27T14:40:00+00:00,-2.848,-2.84,9960.15,5.0
BUY,65807.1,65524.4823,66231.0266,1.5,bullish_pinbar,2026-02-27T14:50:00+00:00,VOLATILE_RANGE,4,VOLATILE_RANGE,TP,66231.0266,2026-02-27T15:50:00+00:00,3.221,3.21,9963.36,60.0
BUY,63535.1,63197.2622,64041.8566,1.5,bullish_pinbar,2026-02-28T08:20:00+00:00,VOLATILE_RANGE,3,VOLATILE_RANGE,TP,64041.8566,2026-02-28T11:00:00+00:00,3.988,3.97,9967.34,160.0
SELL,64778.7,65296.9296,63846.9787,1.8,bearish_engulfing,2026-02-28T14:00:00+00:00,DOWNTREND,4,DOWNTREND,SL,65296.9296,2026-02-28T17:55:00+00:00,-4.0,-3.99,9963.35,235.0
SELL,66959.5,67197.3987,66602.6519,1.5,bearish_pinbar,2026-02-28T23:20:00+00:00,VOLATILE_RANGE,3,VOLATILE_RANGE,TP,66602.6519,2026-03-01T00:40:00+00:00,2.665,2.65,9966.0,80.0
SELL,67726.3,68268.1104,66853.2764,1.61,bearish_engulfing,2026-03-01T02:45:00+00:00,VOLATILE_RANGE,3,VOLATILE_RANGE,TP,66853.2764,2026-03-01T06:30:00+00:00,6.445,6.42,9972.43,225.0
BUY,66956.3,66752.1092,67262.5861,1.5,bullish_pinbar,2026-03-01T07:25:00+00:00,VOLATILE_RANGE,4,VOLATILE_RANGE,TP,67262.5861,2026-03-01T08:20:00+00:00,2.287,2.28,9974.71,55.0
BUY,66393.1,65994.4172,66991.1241,1.5,bullish_pinbar,2026-03-01T10:05:00+00:00,VOLATILE_RANGE,3,VOLATILE_RANGE,TP,66991.1241,2026-03-01T13:50:00+00:00,4.504,4.49,9979.2,225.0
SELL,66874.9,67141.9873,66474.2691,1.5,bearish_engulfing,2026-03-01T14:35:00+00:00,VOLATILE_RANGE,4,VOLATILE_RANGE,SL,67141.9873,2026-03-01T15:15:00+00:00,-1.997,-1.99,9977.21,40.0
BUY,66155.7,65901.7108,66536.6839,1.5,bullish_engulfing,2026-03-01T17:05:00+00:00,VOLATILE_RANGE,3,VOLATILE_RANGE,SL,65901.7108,2026-03-01T17:15:00+00:00,-1.92,-1.92,9975.29,10.0
BUY,66034.0,65735.715,66481.4275,1.5,bullish_pinbar,2026-03-01T17:30:00+00:00,VOLATILE_RANGE,3,VOLATILE_RANGE,TP,66481.4275,2026-03-01T18:00:00+00:00,3.388,3.38,9978.67,30.0
BUY,65889.2,65616.477,66298.2845,1.5,bullish_pinbar,2026-03-01T19:50:00+00:00,VOLATILE_RANGE,3,VOLATILE_RANGE,SL,65616.477,2026-03-01T20:05:00+00:00,-2.07,-2.07,9976.61,15.0
SELL,65394.5,65682.3862,64962.6706,1.5,bearish_engulfing,2026-03-01T20:20:00+00:00,VOLATILE_RANGE,3,VOLATILE_RANGE,SL,65682.3862,2026-03-01T21:55:00+00:00,-2.201,-2.2,9974.41,95.0
BUY,66093.4,65785.1665,66555.7502,1.5,bullish_pinbar,2026-03-01T22:20:00+00:00,VOLATILE_RANGE,3,VOLATILE_RANGE,SL,65785.1665,2026-03-01T22:25:00+00:00,-2.332,-2.33,9972.08,5.0
BUY,65672.7,65147.3184,66590.3273,1.75,bullish_engulfing,2026-03-01T23:00:00+00:00,VOLATILE_RANGE,4,VOLATILE_RANGE,TP,66590.3273,2026-03-02T00:45:00+00:00,6.986,6.97,9979.05,105.0
SELL,66543.9,66835.8598,66105.9604,1.5,bearish_engulfing,2026-03-02T01:40:00+00:00,VOLATILE_RANGE,3,VOLATILE_RANGE,TP,66105.9604,2026-03-02T02:05:00+00:00,3.291,3.28,9982.34,25.0
SELL,66714.5,67020.8863,66254.9206,1.5,bearish_pinbar,2026-03-02T03:30:00+00:00,VOLATILE_RANGE,3,VOLATILE_RANGE,TP,66254.9206,2026-03-02T06:15:00+00:00,3.444,3.44,9985.77,165.0
BUY,66132.2,65857.1695,66544.7457,1.5,bullish_pinbar,2026-03-02T06:50:00+00:00,VOLATILE_RANGE,4,VOLATILE_RANGE,SL,65857.1695,2026-03-02T07:05:00+00:00,-2.079,-2.08,9983.7,15.0
BUY,65719.2,65344.702,66280.947,1.5,bullish_engulfing,2026-03-02T07:20:00+00:00,VOLATILE_RANGE,6,VOLATILE_RANGE,TP,66280.947,2026-03-02T09:00:00+00:00,4.274,4.27,9987.96,100.0
BUY,65405.9,65156.3852,65780.1721,1.5,bullish_pinbar,2026-03-02T13:50:00+00:00,VOLATILE_RANGE,6,VOLATILE_RANGE,TP,65780.1721,2026-03-02T14:30:00+00:00,2.861,2.86,9990.82,40.0
SELL,69234.2,69761.0855,68443.8717,1.5,bearish_engulfing,2026-03-02T15:45:00+00:00,VOLATILE_RANGE,4,VOLATILE_RANGE,SL,69761.0855,2026-03-02T16:40:00+00:00,-3.805,-3.8,9987.02,55.0
SELL,69794.3,70274.4858,69074.0214,1.5,bearish_pinbar,2026-03-02T16:45:00+00:00,VOLATILE_RANGE,4,VOLATILE_RANGE,TP,69074.0214,2026-03-02T17:35:00+00:00,5.16,5.15,9992.17,50.0
BUY,68862.5,68515.8438,69382.4844,1.5,bullish_pinbar,2026-03-02T19:00:00+00:00,VOLATILE_RANGE,3,VOLATILE_RANGE,TP,69382.4844,2026-03-02T20:50:00+00:00,3.776,3.77,9995.95,110.0
BUY,69141.0,68854.6475,69570.5287,1.5,bullish_engulfing,2026-03-02T21:05:00+00:00,UPTREND,3,UPTREND,SL,68854.6475,2026-03-02T23:30:00+00:00,-2.071,-2.07,9993.88,145.0
SELL,67498.1,67999.6453,66745.7821,1.5,bearish_pinbar,2026-03-03T15:40:00+00:00,VOLATILE_RANGE,5,VOLATILE_RANGE,SL,67999.6453,2026-03-03T16:05:00+00:00,-3.715,-3.71,9990.16,25.0
SELL,68428.4,68736.571,67966.1435,1.5,bearish_pinbar,2026-03-03T18:25:00+00:00,VOLATILE_RANGE,3,VOLATILE_RANGE,SL,68736.571,2026-03-03T18:30:00+00:00,-2.252,-2.25,9987.91,5.0
SELL,68343.3,68820.8583,67626.9626,1.5,bearish_engulfing,2026-03-03T19:05:00+00:00,VOLATILE_RANGE,3,VOLATILE_RANGE,SL,68820.8583,2026-03-03T19:20:00+00:00,-3.494,-3.49,9984.42,15.0
BUY,68020.0,67722.75,68465.875,1.5,bullish_pinbar,2026-03-03T21:15:00+00:00,VOLATILE_RANGE,4,VOLATILE_RANGE,TP,68465.875,2026-03-03T22:00:00+00:00,3.278,3.27,9987.7,45.0
BUY,68250.9,67962.8727,68682.9409,1.5,bullish_pinbar,2026-03-03T22:30:00+00:00,VOLATILE_RANGE,3,VOLATILE_RANGE,TP,68682.9409,2026-03-03T23:10:00+00:00,3.165,3.16,9990.86,40.0
SELL,68417.4,68721.8435,67960.7347,1.5,bearish_pinbar,2026-03-03T23:30:00+00:00,VOLATILE_RANGE,3,VOLATILE_RANGE,TP,67960.7347,2026-03-04T00:30:00+00:00,3.337,3.33,9994.19,60.0
BUY,67596.0,67306.71,68029.935,1.5,bullish_pinbar,2026-03-04T04:20:00+00:00,VOLATILE_RANGE,3,VOLATILE_RANGE,TP,68029.935,2026-03-04T05:40:00+00:00,3.21,3.21,9997.4,80.0
BUY,69499.9,69239.0503,69891.1746,1.5,bullish_pinbar,2026-03-04T08:35:00+00:00,UPTREND,6,UPTREND,TP,69891.1746,2026-03-04T08:45:00+00:00,2.815,2.81,10000.21,10.0
BUY,71001.9,70578.8953,71636.4071,1.5,bullish_engulfing,2026-03-04T09:05:00+00:00,UPTREND,6,UPTREND,TP,71636.4071,2026-03-04T09:35:00+00:00,4.468,4.47,10004.68,30.0
BUY,71157.3,70727.3068,71802.2899,1.5,bullish_engulfing,2026-03-04T11:50:00+00:00,UPTREND,3,UPTREND,SL,70727.3068,2026-03-04T12:15:00+00:00,-3.021,-3.02,10001.66,25.0
BUY,71327.2,71042.382,71754.427,1.5,bullish_engulfing,2026-03-04T13:25:00+00:00,UPTREND,4,UPTREND,TP,71754.427,2026-03-04T14:10:00+00:00,2.995,3.0,10004.65,45.0
BUY,72930.9,72347.4528,73951.9291,1.75,bullish_engulfing,2026-03-04T15:25:00+00:00,UPTREND,5,UPTREND,TP,73951.9291,2026-03-04T19:10:00+00:00,7.0,7.0,10011.66,225.0
BUY,72592.9,72334.5177,72980.4734,1.5,bullish_pinbar,2026-03-05T03:10:00+00:00,UPTREND,3,UPTREND,SL,72334.5177,2026-03-05T03:35:00+00:00,-1.78,-1.78,10009.88,25.0
BUY,72563.2,72285.392,72979.912,1.5,bullish_engulfing,2026-03-05T09:55:00+00:00,VOLATILE_RANGE,3,UPTREND,TP,72979.912,2026-03-05T10:20:00+00:00,2.871,2.87,10012.75,25.0
BUY,68434.1,68050.9147,69008.8779,1.5,bullish_pinbar,2026-03-06T17:15:00+00:00,VOLATILE_RANGE,3,VOLATILE_RANGE,SL,68050.9147,2026-03-06T17:30:00+00:00,-2.8,-2.8,10009.95,15.0
